Callsign,Altitude,Speed,Latitude,Longitude,Time,Distance,DistToWSSS,ReferenceTime,Aircraft Type,Aircraft Registration,Wake Turbulence Category,ADEP,Arrival Runway,Fix Name,STAR Name,Entry Time,processed
QFA51,42775,479.923996390689,-2.58299762383103,108.778333906084,2024-02-16 08:52:17.992188,14923.6336005453,687499.900879631,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,478.917795751289,-2.49458312988281,108.676385320723,2024-02-16 08:53:18.757812,14971.2626463338,672534.852216069,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,477.657811521778,-2.40724185481668,108.576111774892,2024-02-16 08:54:18.796875,14753.3373114913,657788.865975762,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,478.957191545887,-2.31962598860264,108.475465904921,2024-02-16 08:55:18.882812,14805.0209257972,642991.328782844,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,481.706472108731,-2.23082995042205,108.373497202992,2024-02-16 08:56:19.421875,15002.2935126579,627997.074762804,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,482.749827616432,-2.14182201772928,108.271352816373,2024-02-16 08:57:19.953125,15032.84761241,612972.697609485,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,484.459188639123,-2.05215459689498,108.168407287449,2024-02-16 08:58:20.734375,15148.3841568605,597833.029450305,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,484.588166175409,-1.96250276640058,108.065548595041,2024-02-16 08:59:21.46875,15140.7314414044,582701.868999041,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,482.888282841169,-1.8731689453125,107.963072620332,2024-02-16 09:00:22.195312,15085.6785993044,567625.899187583,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,482.287429605157,-1.78390502929688,107.860650457442,2024-02-16 09:01:22.960938,15076.599457569,552559.47035979,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42750,483.094937745587,-1.69496700167656,107.75868896395,2024-02-16 09:02:23.375,15014.4702045413,537555.660490017,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
QFA51,42775,483.258942037208,-1.60519413650036,107.655774112791,2024-02-16 09:03:24.335938,15155.526258255,522411.505899121,2024-02-16 10:18:00,A332,VHEBA,H,YBBN,02L,SURGA,SUR1A,2024-02-16 09:14:00,True
