Aircraft,C_f1,C_f2,C_f3,C_f4,C_fcr,C_Tc_1,C_Tc_2,C_Tc_3,C_Tc_4,C_Tc_5,C_Tdes_low,C_Tdes_high,Hp_des,C_Tdes_app,C_Tdes_ld,S,C_Lbo,k,CR_Vstall,IC_Vstall,TO_Vstall,AP_Vstall,LD_Vstall,CR_CD0,CR_CD2,Mass_tons,Engines_type,Type
A10,0.27541,97.93,3.8043,5096900,0.9363,54361,47401,6.79E-11,0,0.0076064,0.022882,0.1094,27864,0.091211,0.17019,47.01,0,0,123,123,115.5,111.5,111.5,0.04861,0.052827,19.505,Jet,Jet_Medium
A124,0.92645,-2364,113.54,68697,0.91707,554360,101850,-1.18E-10,-0.05977,0.0054791,0.079389,0.0059527,16719,0.11326,0.2421,628,0,0,169,169,128,128,116,0.0275,0.062,317.2,Jet,Jet_4_Heavy
A140,3.3134,4041.4,5.7796,-1786000,1.1062,5248500,58229,704.56,0.74985,0.0070751,0.14212,0.21767,14811,0.10995,0.09865,51,0,0,105,105,95,89,82,0.027,0.037,18.3,Turboprop,Turboprop_Medium
A148,0.84686,2608.8,20.573,67271,0.99745,72360,93239,-1.01E-10,5,0.0086742,0.15621,0.10629,16817,0.11745,0.13406,87.32,1.259,0.47792,136,106,102,102,95,0.023,0.043,37,Jet,Jet_Medium
A158,0.739,1139.9,16.22,85461,0.99588,84065,53601,5.66E-11,5,0.0088662,0.12542,0.19246,15287,0.11228,0.14972,87.32,1.3141,0.63617,140,110,104,104,99,0.027225,0.047525,38,Jet,Jet_Medium
A20N,0.51877,1041.5,9.8163,101050,0.95276,157080,59907,-2.48E-11,9.7124,0.0092883,0.085716,0.11042,9763,0.13764,0.3366,122.6,1.2785,0.53278,146,146,111,106,101,0.029966,0.032432,68,Jet,Jet_Upper_Medium
A21N,0.57359,1619.3,12.83,73861,0.9294,177210,54610,1.97E-11,10.011,0.0099055,0.11824,0.14798,20390,0.16906,0.32592,122.6,1.2676,0.48225,155,155,121.5,115,107,0.031787,0.034774,83,Jet,Jet_Upper_Medium
A306,0.63936,1004.7,21.196,67071,0.98852,297160,51306,5.63E-11,8.4814,0.0044597,0.032012,0.04031,15161,0.13124,0.39136,260,1.315,0.8408,151,117,117,109,97,0.020591,0.051977,140,Jet,Jet_Heavy
A30B,0.68406,1046,38.59,46972,0.95523,263440,59503,2.85E-12,10.099,0.0089297,0.081963,0.038629,28134,0.17842,0.34613,260,1.1192,0.64225,146,118,106,101,99,0.022844,0.05373,134,Jet,Jet_Heavy
A310,0.63947,1140.3,15.664,-332800,0.95439,294320,71150,-8.26E-11,9.9045,0.0095561,0.068559,0.1046,18360,0.16925,0.33504,219,1.3743,0.72506,142,116,109,105,97,0.024934,0.03963,120,Jet,Jet_Heavy
A318,0.64411,1319.6,11.956,72889,0.93844,137570,59294,9.75E-12,10.458,0.0080017,0.051735,0.12508,9055,0.12686,0.35351,122.6,1.225,0.49518,138,138,104,99,93,0.028747,0.034614,59,Jet,Jet_Upper_Medium
A319,0.72891,1729.8,11.114,133850,0.99224,140720,47489,9.66E-11,9.4815,0.0094754,0.051765,0.083084,27726,0.14767,0.34217,122.6,1.2273,0.47037,139,113,104,100,94,0.025954,0.025882,60,Jet,Jet_Upper_Medium
A320,0.75882,2938.5,8.9418,93865,0.96358,142310,51680,5.68E-11,10.138,0.008871,0.10847,0.13603,29831,0.15749,0.39566,122.6,1.4041,0.79242,140.5,118,112.1,105.1,101.3,0.026659,0.038726,64,Jet,Jet_Upper_Medium
A321,0.72987,1236.9,14.159,68867,1,158520,45206,1.18E-10,9.8789,0.0089517,0.042086,0.02219,35635,0.17187,0.33777,122.6,1.25,0.4806,145,129,118,106,103,0.026984,0.035074,72,Jet,Jet_Upper_Medium
A332,0.59426,825.84,25.897,79790,0.95422,369950,55285,1.97E-11,8.9208,0.0089919,0.064051,0.070769,14396,0.21852,0.33313,361.6,1.2698,0.53378,141,126,117,111,104,0.018953,0.032965,190,Jet,Jet_Heavy
A333,0.61503,919.03,21.033,112230,0.93655,363130,57820,-8.68E-12,9.6793,0.008516,0.047197,0.072359,9006,0.19342,0.31548,361.6,1.2568,0.50967,134,120,112,105,99,0.019805,0.031875,174,Jet,Jet_Heavy
A339,0.48923,706.25,21.777,92777,0.94543,386560,51138,5.81E-11,9.883,0.0091388,0.057508,0.075899,12174,0.15872,0.33055,361.6,1.2089,0.47275,140,140,124,117,110.5,0.021432,0.031543,208,Jet,Jet_Heavy
A342,0.61418,823.68,32.117,70241,0.95398,370700,54954,2.20E-11,10.043,0.0080152,0.055187,0.042971,22374,0.2173,0.36855,361.6,1.2419,0.51537,157,129.4,119.4,114.2,111.4,0.019572,0.034034,225,Jet,Jet_4_Heavy
A343,0.61769,836.49,31.624,72189,0.95523,370610,54838,2.29E-11,10.054,0.0080462,0.054457,0.041561,22424,0.21449,0.3646,361.6,1.2419,0.51537,156.6,129.1,119.1,113.9,111.1,0.019826,0.033947,225,Jet,Jet_4_Heavy
A345,0.63894,1516,34.292,84087,0.95095,548520,58270,1.77E-11,10.171,0.012012,0.07296,0.11033,16637,0.17819,0.31253,437,1.2071,0.35069,167,138,130,126,123,0.022634,0.036883,315,Jet,Jet_4_Heavy
A346,0.64295,1468.9,33.958,90040,0.95843,544970,57703,2.02E-11,10.054,0.012468,0.060054,0.0905,15479,0.17288,0.28443,437,1.223,0.37482,158,158,123,121,118,0.02214,0.038022,285,Jet,Jet_4_Heavy
A359,0.48874,950.05,19.693,-1289000,0.94274,426160,67338,-3.84E-11,9.8912,0.010597,0.090679,0.14057,12022,0.080948,0.090929,443,1.3442,0.71919,144.6,117.8,116.3,116.3,112.3,0.021016,0.040511,235,Jet,Jet_Heavy
A35K,0.48566,691.16,32.787,89628,0.94087,442000,63135,-2.91E-11,9.9601,0.0097794,0.069613,0.088809,16527,0.039998,0.048509,443,1.3317,0.6659,154.7,127.3,124,124,118.1,0.019679,0.033912,270,Jet,Jet_Heavy
A388,0.54336,866.22,64.145,74435,0.93051,886670,55952,1.32E-11,10.329,0.0098323,0.066153,0.10223,32161,0.19226,0.33725,845,1.2939,0.61928,154,154,122,117,114,0.01813,0.043198,482,Jet,Jet_4_Heavy
A3ST,0.60686,1381.9,21.127,84803,0.86967,319760,90454,-1.74E-10,9.6582,0.0072761,0.14243,0.1813,12134,0.14048,0.33144,260,1.2912,0.83063,146,146,112,112,100,0.035226,0.046765,130,Jet,Jet_Heavy
AJET,0.66954,165.1,4.9059,223840,1.0931,16971,38856,1.64E-10,1.6572,0.0042642,0.0052828,0.27744,32065,0.0052828,0.035413,17.5,0,0,138,138,106,138,106,0.0165,0.05,6,Jet,Jet_Light
AN12,5.5089,566.19,35.055,72793,1.5034,9905100,20649,55880,0,0.004,0.15347,0.17831,12209,0.15347,0.17077,121.73,0,0,121,121,108,108,95,0.020062,0.059598,49.8,Turboprop,Turboprop_Medium
AN24,3.5925,-555.3,17.051,59214,1.1311,3081000,31386,6725.6,9,0.025,0.045983,0.19965,13719,0.045982,0,74.98,0,0,98,98,88,88,78,0.013,0.03,18.5,Turboprop,Turboprop_Medium
AN28,6.52,579.65,5.2736,110360,1.7745,1526300,65824,-1017,2.6337,0.0034779,0.12967,0.17455,5304,0.059306,0.039562,39.72,0,0,64,64,58,56,54,0.018,0.037,5.6,Turboprop,Turboprop_Light
AN30,16.862,298.36,11.185,59828,1.4037,10580000,311210,-25020,18.9,0.0021969,0.028624,0.25602,17544,0.028624,0.052006,74.98,0,0,108,108,95,95,84,0.025,0.04,21,Turboprop,Turboprop_Medium
AN32,3.5853,1176.5,17.004,54248,1.0999,20363000,-582600,-54670,0,0.005,0.03406,0.29345,10276,0.03406,0.073133,74.98,0,0,114,114,103,103,95,0.035,0.048,23.5,Turboprop,Turboprop_Medium
AN38,5.1403,2485.6,5.2723,-70320,1.7755,5024600,-1768000,-21170,5.8895,0.0076056,0.11799,0.19468,5320,0.038958,0.018854,39.72,0,0,87,87,82,76,74,0.018,0.037,8.3,Turboprop,Turboprop_Light
AT43,3.6224,1352.1,6.3855,77290,1.1396,4065300,74061,0,3.0913,0.0058191,0.037669,0,17351,0.037669,0.17294,54.5,0,0,98,85,85,85,75,0.021851,0.034779,15,Turboprop,Turboprop_Medium
AT45,3.9933,672.35,5.4649,68373,1.0492,3854200,30200,11993,0.81307,0.0078728,0,0.2194,8223,0.070312,0.15928,54.51,0,0,98,98,87,81,77,0.035466,0.031737,16.5,Turboprop,Turboprop_Medium
AT72,3.537,1897.1,7.2624,71903,1.2154,4900500,45037,2653.3,3.8907,0.0085357,0.020581,0,10241,0.020581,0.24282,61,0,0,104,104,87,87,79,0.021872,0.030597,19,Turboprop,Turboprop_Medium
AT73,3.6731,1979.4,7.8788,72338,1.2227,4986500,45382,2407.2,2.2174,0.0088151,0.021006,0,10527,0.021006,0.22719,61,0,0,102,102,86,86,76,0.022072,0.0293,19,Turboprop,Turboprop_Medium
AT75,3.4323,5520.4,7.8163,74675,1.2002,5037000,47034,2323.2,2.8532,0.0085258,0.020529,0,10275,0.020529,0.22933,61,0,0,102,102,87,87,77,0.021882,0.030556,19,Turboprop,Turboprop_Medium
AT76,3.4477,4977.5,7.8493,71940,1.205,5040900,47104,2289.1,2.8559,0.0085276,0.020425,0,9587,0.020425,0.24458,61,0,0,104,104,88.3,88.3,78.6,0.021842,0.030569,20,Turboprop,Turboprop_Medium
ATP,3.0341,1.00E+15,5.9858,1.00E+15,1.0502,3183300,24390,14149,0.9883,0.0070372,0,0.72227,14386,0,0.017079,78.82,0,0,99,92,83,83,75,0.02633,0.027511,20,Turboprop,Turboprop_Medium
